user_id,item_id,interaction_type,interaction_time
1474,2449,加入购物车,2025-09-19 10:53:11
1352,2543,点击,2025-09-10 10:53:11
1021,2810,点击,2025-09-15 10:53:11
1480,2608,收藏,2025-09-14 10:53:11
1448,2039,收藏,2025-09-20 10:53:11
1233,2043,加入购物车,2025-09-27 10:53:11
1265,2588,点击,2025-09-10 10:53:11
1322,2194,点击,2025-09-22 10:53:11
1452,2886,点击,2025-09-25 10:53:11
1313,2706,收藏,2025-09-30 10:53:11
1237,2462,点击,2025-09-18 10:53:11
1057,2216,点击,2025-09-24 10:53:11
1230,2626,加入购物车,2025-09-06 10:53:11
1103,2092,点击,2025-09-12 10:53:11
1332,2815,点击,2025-09-11 10:53:11
1063,2482,收藏,2025-10-02 10:53:11
1268,2744,加入购物车,2025-09-18 10:53:11
1313,2387,收藏,2025-10-03 10:53:11
1393,2631,加入购物车,2025-09-07 10:53:11
1076,2294,加入购物车,2025-10-03 10:53:11
1214,2905,购买,2025-09-25 10:53:11
1320,2423,点击,2025-09-10 10:53:11
1129,2942,点击,2025-09-09 10:53:11
1002,2509,点击,2025-09-13 10:53:11
1243,2060,收藏,2025-10-04 10:53:11
1125,2284,收藏,2025-09-17 10:53:11
1419,2050,点击,2025-10-03 10:53:11
1334,2029,收藏,2025-09-08 10:53:11
1308,2036,点击,2025-09-29 10:53:11
1082,2505,加入购物车,2025-09-23 10:53:11
1476,2370,点击,2025-09-22 10:53:11
1419,2925,收藏,2025-09-25 10:53:11
1241,2387,收藏,2025-09-18 10:53:11
1107,2094,点击,2025-09-11 10:53:11
1322,2881,加入购物车,2025-09-15 10:53:11
1478,2723,点击,2025-09-15 10:53:11
1434,2632,购买,2025-09-23 10:53:11
1474,2559,加入购物车,2025-09-19 10:53:11
1252,2904,收藏,2025-09-12 10:53:11
1148,2001,点击,2025-09-20 10:53:11
1320,2755,加入购物车,2025-09-09 10:53:11
1315,2423,点击,2025-09-23 10:53:11
1286,2217,点击,2025-09-28 10:53:11
1353,2397,点击,2025-09-17 10:53:11
1165,2116,收藏,2025-09-24 10:53:11
1202,2630,购买,2025-09-08 10:53:11
1089,2712,点击,2025-09-19 10:53:11
1408,2896,点击,2025-09-20 10:53:11
1456,2917,点击,2025-09-09 10:53:11
1416,2104,加入购物车,2025-09-25 10:53:11
1289,2323,收藏,2025-10-04 10:53:11
1106,2717,点击,2025-09-30 10:53:11
1143,2347,购买,2025-09-14 10:53:11
1273,2584,收藏,2025-09-29 10:53:11
1304,2550,加入购物车,2025-09-26 10:53:11
1211,2410,点击,2025-09-25 10:53:11
1110,2129,点击,2025-10-03 10:53:11
1398,2826,收藏,2025-09-09 10:53:11
1247,2157,点击,2025-09-05 10:53:11
1247,2536,点击,2025-09-24 10:53:11
1073,2100,加入购物车,2025-09-18 10:53:11
1346,2210,加入购物车,2025-09-20 10:53:11
1198,2534,点击,2025-09-25 10:53:11
1477,2421,点击,2025-10-03 10:53:11
1052,2782,点击,2025-09-16 10:53:11
1388,2419,点击,2025-09-25 10:53:11
1141,2770,点击,2025-09-30 10:53:11
1080,2734,收藏,2025-10-01 10:53:11
1105,2537,点击,2025-09-12 10:53:11
1411,2280,点击,2025-09-15 10:53:11
1456,2096,点击,2025-09-19 10:53:11
1462,2449,点击,2025-09-21 10:53:11
1200,2983,收藏,2025-09-08 10:53:11
1353,2388,点击,2025-09-08 10:53:11
1101,2686,加入购物车,2025-10-02 10:53:11
1498,2782,点击,2025-09-30 10:53:11
1047,2941,收藏,2025-10-01 10:53:11
1233,2953,点击,2025-09-27 10:53:11
1073,2631,点击,2025-09-23 10:53:11
1200,2348,加入购物车,2025-09-06 10:53:11
1166,2123,点击,2025-09-23 10:53:11
1245,2494,加入购物车,2025-09-15 10:53:11
1294,2753,加入购物车,2025-09-09 10:53:11
1054,2879,点击,2025-09-20 10:53:11
1205,2464,收藏,2025-09-19 10:53:11
1196,2932,收藏,2025-09-21 10:53:11
1401,2580,加入购物车,2025-09-17 10:53:11
1355,2762,点击,2025-09-05 10:53:11
